Tip deponije,Godina,naziv,PIB,Matični broj,Opština,Mesto,Šifra mesta,Poštanski broj,Ulica i broj,Telefon,Telefaks,Email,Šifra pretežne delatnosti,Opština2,Naselje,latitude,longitude,prosecna ukupna kolicina otpada,Procenjena površina smetlišta (m2),Koliko je puta čišćen prostor divlje deponije u toku izveštajne godine?,Da li se na istom mestu ponavlja divlje odlaganje otpada?
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Lojanice, Vladimirci, 709956",44.63288,19.7391,5,20,0,Da
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Provo, Vladimirci, 710032",44.64405,19.9163,140,400,0,Da
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Provo, Vladimirci, 710032",44.67695,19.91533,40,40,0,Da
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Provo, Vladimirci, 710032",44.65809,19.88689,15,70,0,Da
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Riđake, Vladimirci, 710059",44.65714,19.76416,10,20,0,Da
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Skupljen, Vladimirci, 710067",44.65421,19.78856,15,30,0,Da
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Skupljen, Vladimirci, 710067",44.65873,19.81262,10,20,0,Da
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Skupljen, Vladimirci, 710067",44.64129,19.78826,15,50,0,Da
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Skupljen, Vladimirci, 710067",44.6455,19.8223,5,15,0,Da
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Vladimirci, Vladimirci, 709808",44.62061,19.75435,10,20,0,Da
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Vukošić, Vladimirci, 709824",44.64911,19.74385,10,40,0,Ne
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Vukošić, Vladimirci, 709824",44.64478,19.71115,10,30,0,Ne
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Vučevica, Vladimirci, 709832",44.6711,19.77596,5,20,0,Ne
Divlje deponije,2020,OPŠTINSKA UPRAVA BRUS,101139819,07195133,Brus,"Brus, Brus, 707066",707066,37220,KRALJA PETRA PRVOG  120,0373150101,,irenastojkovic74@gmail.com,8411,Brus,"Botunja, Brus, 707031",43.423888,21.046361,486.4,608,0,Da
Divlje deponije,2020,OPŠTINSKA UPRAVA BRUS,101139819,07195133,Brus,"Brus, Brus, 707066",707066,37220,KRALJA PETRA PRVOG  120,0373150101,,irenastojkovic74@gmail.com,8411,Brus,"Brus, Brus, 707066",43.400166,21.038083,9.86,986,2,Da
Divlje deponije,2020,OPŠTINSKA UPRAVA BRUS,101139819,07195133,Brus,"Brus, Brus, 707066",707066,37220,KRALJA PETRA PRVOG  120,0373150101,,irenastojkovic74@gmail.com,8411,Brus,"Graševci, Brus, 707171",43.345388,20.979722,88.6,215,0,Da
Divlje deponije,2020,OPŠTINSKA UPRAVA BRUS,101139819,07195133,Brus,"Brus, Brus, 707066",707066,37220,KRALJA PETRA PRVOG  120,0373150101,,irenastojkovic74@gmail.com,8411,Brus,"Igroš, Brus, 707317",43.36,21.100722,275,334,0,Da
Divlje deponije,2020,OPŠTINSKA UPRAVA BRUS,101139819,07195133,Brus,"Brus, Brus, 707066",707066,37220,KRALJA PETRA PRVOG  120,0373150101,,irenastojkovic74@gmail.com,8411,Brus,"Milentija, Brus, 707449",43.435777,20.993472,161.7,196,0,Da
Divlje deponije,2020,OPŠTINSKA UPRAVA BRUS,101139819,07195133,Brus,"Brus, Brus, 707066",707066,37220,KRALJA PETRA PRVOG  120,0373150101,,irenastojkovic74@gmail.com,8411,Brus,"Radmanovo, Brus, 707490",43.32075,20.927,523,634,0,Da
Divlje deponije,2020,OPŠTINSKA UPRAVA BRUS,101139819,07195133,Brus,"Brus, Brus, 707066",707066,37220,KRALJA PETRA PRVOG  120,0373150101,,irenastojkovic74@gmail.com,8411,Brus,"Razbojna, Brus, 707511",43.339722,21.157611,29.9,109,1,Da
Divlje deponije,2020,OPŠTINSKA UPRAVA BRUS,101139819,07195133,Brus,"Brus, Brus, 707066",707066,37220,KRALJA PETRA PRVOG  120,0373150101,,irenastojkovic74@gmail.com,8411,Brus,"Strojinci, Brus, 707546",43.365972,21.130944,9.8,119,1,Da
Divlje deponije,2020,OPŠTINSKA UPRAVA BRUS,101139819,07195133,Brus,"Brus, Brus, 707066",707066,37220,KRALJA PETRA PRVOG  120,0373150101,,irenastojkovic74@gmail.com,8411,Brus,"Velika Grabovnica, Brus, 707082",43.386888,20.962611,77.5,282,0,Da
Divlje deponije,2020,OPŠTINSKA UPRAVA BRUS,101139819,07195133,Brus,"Brus, Brus, 707066",707066,37220,KRALJA PETRA PRVOG  120,0373150101,,irenastojkovic74@gmail.com,8411,Brus,"Žiljci, Brus, 707287",43.2228,21.0031,223.3,1015,0,Da
Divlje deponije,2020,SKUPŠTINA OPŠTINE TITEL,101457453,08050724,Titel,"Titel, Titel, 804738",804738,21240,GLAVNA 1,064/8224242,,uprava@opstinatitel.rs,8411,Titel,"Lok, Titel, 804711",45.21,20.21,1500,12500,1,Da
Divlje deponije,2020,SKUPŠTINA OPŠTINE TITEL,101457453,08050724,Titel,"Titel, Titel, 804738",804738,21240,GLAVNA 1,064/8224242,,uprava@opstinatitel.rs,8411,Titel,"Mošorin, Titel, 804720",45.29,20.19,2000,70000,1,Da
Divlje deponije,2020,Opštinska uprava Mionica,101391896,07188781,Mionica,"Mionica (varošica), Mionica, 728268",728268,14242,Vojvode Mišić  30,014 3422 632,,somionica@ptt.rs,8411,Mionica,"Ključ, Mionica, 728225",44.2410737,20.0700869,5,40,1,Da
Divlje deponije,2020,Opštinska uprava Mionica,101391896,07188781,Mionica,"Mionica (varošica), Mionica, 728268",728268,14242,Vojvode Mišić  30,014 3422 632,,somionica@ptt.rs,8411,Mionica,"Maljević, Mionica, 728250",44.2508004,20.1080046,5,30,1,Da
Divlje deponije,2020,Opštinska uprava Mionica,101391896,07188781,Mionica,"Mionica (varošica), Mionica, 728268",728268,14242,Vojvode Mišić  30,014 3422 632,,somionica@ptt.rs,8411,Mionica,"Mionica (selo), Mionica, 728276",44.2618463,20.087432,250,120,10,Da
Divlje deponije,2020,Opštinska uprava Mionica,101391896,07188781,Mionica,"Mionica (varošica), Mionica, 728268",728268,14242,Vojvode Mišić  30,014 3422 632,,somionica@ptt.rs,8411,Mionica,"Mionica (selo), Mionica, 728276",44.246707,20.0894404,5,30,1,Da
Divlje deponije,2020,Opštinska uprava Mionica,101391896,07188781,Mionica,"Mionica (varošica), Mionica, 728268",728268,14242,Vojvode Mišić  30,014 3422 632,,somionica@ptt.rs,8411,Mionica,"Paštrić, Mionica, 728314",44.2123739,20.0820174,10,40,2,Da
Divlje deponije,2020,Opštinska uprava Mionica,101391896,07188781,Mionica,"Mionica (varošica), Mionica, 728268",728268,14242,Vojvode Mišić  30,014 3422 632,,somionica@ptt.rs,8411,Mionica,"Rajković, Mionica, 728365",44.2326392,20.0071695,10,40,2,Da
Divlje deponije,2020,Opštinska uprava Mionica,101391896,07188781,Mionica,"Mionica (varošica), Mionica, 728268",728268,14242,Vojvode Mišić  30,014 3422 632,,somionica@ptt.rs,8411,Mionica,"Rajković, Mionica, 728365",44.2283367,20.1724925,10,40,2,Da
Divlje deponije,2020,Opštinska uprava Mionica,101391896,07188781,Mionica,"Mionica (varošica), Mionica, 728268",728268,14242,Vojvode Mišić  30,014 3422 632,,somionica@ptt.rs,8411,Mionica,"Rakari, Mionica, 728373",44.2283367,20.1724925,10,40,2,Da
Divlje deponije,2020,Opštinska uprava Mionica,101391896,07188781,Mionica,"Mionica (varošica), Mionica, 728268",728268,14242,Vojvode Mišić  30,014 3422 632,,somionica@ptt.rs,8411,Mionica,"Tolić, Mionica, 728438",44.2110512,20.0820174,20,80,2,Da
Divlje deponije,2020,Opštinska uprava Mionica,101391896,07188781,Mionica,"Mionica (varošica), Mionica, 728268",728268,14242,Vojvode Mišić  30,014 3422 632,,somionica@ptt.rs,8411,Mionica,"Vrtiglav, Mionica, 728128",44.2851253,20.111553,10,30,2,Da
Divlje deponije,2020,"Javno komunalno preduzeće ""Čistoća""",107051272,20732580,Žabalj,"Žabalj, Žabalj, 801321",801321,21230,Svetog Nikole 7,0648009685,0212100430,info@cistocazabalj.co.rs,3811,Žabalj,"Čurug, Žabalj, 801330",45.4771,20.0629,25,300,2,Da
Divlje deponije,2020,"Javno komunalno preduzeće ""Čistoća""",107051272,20732580,Žabalj,"Žabalj, Žabalj, 801321",801321,21230,Svetog Nikole 7,0648009685,0212100430,info@cistocazabalj.co.rs,3811,Žabalj,"Čurug, Žabalj, 801330",45.461986,20.077753,25,300,2,Da
Divlje deponije,2020,"Javno komunalno preduzeće ""Čistoća""",107051272,20732580,Žabalj,"Žabalj, Žabalj, 801321",801321,21230,Svetog Nikole 7,0648009685,0212100430,info@cistocazabalj.co.rs,3811,Žabalj,"Čurug, Žabalj, 801330",45.461023,20.056917,30,150,2,Da
Divlje deponije,2020,"Javno komunalno preduzeće ""Čistoća""",107051272,20732580,Žabalj,"Žabalj, Žabalj, 801321",801321,21230,Svetog Nikole 7,0648009685,0212100430,info@cistocazabalj.co.rs,3811,Žabalj,"Čurug, Žabalj, 801330",45.476733,20.043463,75,600,3,Da
Divlje deponije,2020,"Javno komunalno preduzeće ""Čistoća""",107051272,20732580,Žabalj,"Žabalj, Žabalj, 801321",801321,21230,Svetog Nikole 7,0648009685,0212100430,info@cistocazabalj.co.rs,3811,Žabalj,"Čurug, Žabalj, 801330",45.373415,20.081358,15,120,2,Da
Divlje deponije,2020,"Javno komunalno preduzeće ""Čistoća""",107051272,20732580,Žabalj,"Žabalj, Žabalj, 801321",801321,21230,Svetog Nikole 7,0648009685,0212100430,info@cistocazabalj.co.rs,3811,Žabalj,"Đurđevo, Žabalj, 801313",45.318871,20.07127,150,750,0,Ne
Divlje deponije,2020,"Javno komunalno preduzeće ""Čistoća""",107051272,20732580,Žabalj,"Žabalj, Žabalj, 801321",801321,21230,Svetog Nikole 7,0648009685,0212100430,info@cistocazabalj.co.rs,3811,Žabalj,"Đurđevo, Žabalj, 801313",45.333738,20.069832,50,200,0,Ne
Divlje deponije,2020,"Javno komunalno preduzeće ""Čistoća""",107051272,20732580,Žabalj,"Žabalj, Žabalj, 801321",801321,21230,Svetog Nikole 7,0648009685,0212100430,info@cistocazabalj.co.rs,3811,Žabalj,"Žabalj, Žabalj, 801321",45.380022,20.109811,25,500,0,Ne
Divlje deponije,2020,"Javno komunalno preduzeće ""Čistoća""",107051272,20732580,Žabalj,"Žabalj, Žabalj, 801321",801321,21230,Svetog Nikole 7,0648009685,0212100430,info@cistocazabalj.co.rs,3811,Žabalj,"Žabalj, Žabalj, 801321",45.378521,20.103446,25,500,3,Ne
Divlje deponije,2020,"Javno komunalno preduzeće ""Čistoća""",107051272,20732580,Žabalj,"Žabalj, Žabalj, 801321",801321,21230,Svetog Nikole 7,0648009685,0212100430,info@cistocazabalj.co.rs,3811,Žabalj,"Žabalj, Žabalj, 801321",45.373415,20.061799,50,250,0,Ne
Divlje deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Golubac,"Barič, Golubac, 712868",44.6385842,21.5560054,30,5000,0,Da
Divlje deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Golubac,"Bikinje, Golubac, 712876",44.5866182,21.527418,20,4000,0,Da
Divlje deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Golubac,"Braničevo, Golubac, 712884",44.7085565,21.5505927,30,7000,0,Da
Divlje deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Golubac,"Brnjica, Golubac, 712892",44.6478513,21.7650621,8,400,0,Da
Divlje deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Golubac,"Dobra, Golubac, 712957",44.6413381,21.9082921,30,6000,0,Da
Divlje deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Golubac,"Donja Kruševica, Golubac, 712965",44.6796123,21.5226333,7,500,0,Da
Divlje deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Golubac,"Dušmanić, Golubac, 712973",44.5748003,21.5448152,10,500,0,Da
Divlje deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Golubac,"Klenje, Golubac, 712990",44.5960312,21.5205251,20,1500,0,Da
Divlje deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Golubac,"Kudreš, Golubac, 713015",44.6050759,21.601501,15,2000,0,Da
Divlje deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Golubac,"Maleševo, Golubac, 713023",44.6159159,21.6104059,15,300,0,Da
Divlje deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Golubac,"Miljević, Golubac, 713031",44.6413705,21.5132402,20,7000,0,Da
Divlje deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Golubac,"Mrčkovac, Golubac, 713040",44.618858,21.5202462,8,500,0,Da
Divlje deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Golubac,"Mrčkovac, Golubac, 713040",44.6164734,21.5151929,30,7000,0,Da
Divlje deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Golubac,"Usije, Golubac, 713104",44.6890791,21.59369,15,3000,0,Da
Divlje deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Golubac,"Vojilovo, Golubac, 712914",44.6295714,21.5793621,15,400,0,Da
Divlje deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Golubac,"Vojilovo, Golubac, 712914",44.6192208,21.5930038,12,2000,0,Da
Divlje deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Golubac,"Šuvajić, Golubac, 713112",44.6645039,21.5094208,50,8000,0,Da
Divlje deponije,2020,JP KOMUNALAC,100757593,07366612,Trgovište,"Trgovište, Trgovište, 742546",742546,17525,Kralja Petra I Karađorđevića 4,064/8173520,017452214,komunalac.trgoviste@gmail.com,3811,Trgovište,"Barbace, Trgovište, 742279",42.3658862,21.9549547,3,3450,2,Da
Divlje deponije,2020,JP KOMUNALAC,100757593,07366612,Trgovište,"Trgovište, Trgovište, 742546",742546,17525,Kralja Petra I Karađorđevića 4,064/8173520,017452214,komunalac.trgoviste@gmail.com,3811,Trgovište,"Donja Trnica, Trgovište, 742350",42.3693518,22.076107,4.5,3700,3,Da
Divlje deponije,2020,JP KOMUNALAC,100757593,07366612,Trgovište,"Trgovište, Trgovište, 742546",742546,17525,Kralja Petra I Karađorđevića 4,064/8173520,017452214,komunalac.trgoviste@gmail.com,3811,Trgovište,"Donji Kozji Dol, Trgovište, 742368",42.3576034,22.0866427,3,3300,3,Da
Divlje deponije,2020,JP KOMUNALAC,100757593,07366612,Trgovište,"Trgovište, Trgovište, 742546",742546,17525,Kralja Petra I Karađorđevića 4,064/8173520,017452214,komunalac.trgoviste@gmail.com,3811,Trgovište,"Donji Stajevac, Trgovište, 742376",42.4074212,22.1677695,3,3100,3,Da
Divlje deponije,2020,JP KOMUNALAC,100757593,07366612,Trgovište,"Trgovište, Trgovište, 742546",742546,17525,Kralja Petra I Karađorđevića 4,064/8173520,017452214,komunalac.trgoviste@gmail.com,3811,Trgovište,"Gornji Kozji Dol, Trgovište, 742325",42.3379782,22.100794,3.5,3200,2,Da
Divlje deponije,2020,JP KOMUNALAC,100757593,07366612,Trgovište,"Trgovište, Trgovište, 742546",742546,17525,Kralja Petra I Karađorđevića 4,064/8173520,017452214,komunalac.trgoviste@gmail.com,3811,Trgovište,"Gornji Stajevac, Trgovište, 742333",42.4033478,22.1989736,4,2800,2,Da
Divlje deponije,2020,JP KOMUNALAC,100757593,07366612,Trgovište,"Trgovište, Trgovište, 742546",742546,17525,Kralja Petra I Karađorđevića 4,064/8173520,017452214,komunalac.trgoviste@gmail.com,3811,Trgovište,"Novo Selo, Trgovište, 742481",42.38093,21.9737678,4,3600,2,Da
Divlje deponije,2020,JP KOMUNALAC,100757593,07366612,Trgovište,"Trgovište, Trgovište, 742546",742546,17525,Kralja Petra I Karađorđevića 4,064/8173520,017452214,komunalac.trgoviste@gmail.com,3811,Trgovište,"Radovnica, Trgovište, 742511",42.4238911,22.253519,5,3200,2,Da
Divlje deponije,2020,JP KOMUNALAC,100757593,07366612,Trgovište,"Trgovište, Trgovište, 742546",742546,17525,Kralja Petra I Karađorđevića 4,064/8173520,017452214,komunalac.trgoviste@gmail.com,3811,Trgovište,"Zladovce, Trgovište, 742406",42.3925567,22.1286032,4,3500,1,Da
Divlje deponije,2020,JP KOMUNALAC,100757593,07366612,Trgovište,"Trgovište, Trgovište, 742546",742546,17525,Kralja Petra I Karađorđevića 4,064/8173520,017452214,komunalac.trgoviste@gmail.com,3811,Trgovište,"Đerekarce, Trgovište, 742392",42.3634065,22.0877585,3.5,3200,2,Da
Divlje deponije,2020,JP KOMUNALAC,100757593,07366612,Trgovište,"Trgovište, Trgovište, 742546",742546,17525,Kralja Petra I Karađorđevića 4,064/8173520,017452214,komunalac.trgoviste@gmail.com,3811,Trgovište,"Šajince, Trgovište, 742597",42.385211,22.0275644,3.5,3500,2,Da
Divlje deponije,2020,OPŠTINA LAJKOVAC,101343119,07353154,Lajkovac,"Lajkovac (varoš), Lajkovac, 723029",723029,14224,OMLADINSKI TRG 1,0143433329,,opstinalajkovac@gmail.com,8411,Lajkovac,"Bogovađa, Lajkovac, 723096",44.33834,20.1978,4,28,4,Da
Divlje deponije,2020,OPŠTINA LAJKOVAC,101343119,07353154,Lajkovac,"Lajkovac (varoš), Lajkovac, 723029",723029,14224,OMLADINSKI TRG 1,0143433329,,opstinalajkovac@gmail.com,8411,Lajkovac,"Jabučje, Lajkovac, 723002",44.443171,20.16951,12,100,6,Da
Divlje deponije,2020,OPŠTINA LAJKOVAC,101343119,07353154,Lajkovac,"Lajkovac (varoš), Lajkovac, 723029",723029,14224,OMLADINSKI TRG 1,0143433329,,opstinalajkovac@gmail.com,8411,Lajkovac,"Jabučje, Lajkovac, 723002",44.40261,20.1336,75,350,6,Da
Divlje deponije,2020,OPŠTINA LAJKOVAC,101343119,07353154,Lajkovac,"Lajkovac (varoš), Lajkovac, 723029",723029,14224,OMLADINSKI TRG 1,0143433329,,opstinalajkovac@gmail.com,8411,Lajkovac,"Jabučje, Lajkovac, 723002",44.42425,20.15476,20,120,4,Da
Divlje deponije,2020,OPŠTINA LAJKOVAC,101343119,07353154,Lajkovac,"Lajkovac (varoš), Lajkovac, 723029",723029,14224,OMLADINSKI TRG 1,0143433329,,opstinalajkovac@gmail.com,8411,Lajkovac,"Jabučje, Lajkovac, 723002",44.40593,20.13755,13,45,4,Da
Divlje deponije,2020,OPŠTINA LAJKOVAC,101343119,07353154,Lajkovac,"Lajkovac (varoš), Lajkovac, 723029",723029,14224,OMLADINSKI TRG 1,0143433329,,opstinalajkovac@gmail.com,8411,Lajkovac,"Jabučje, Lajkovac, 723002",44.38932,20.19722,15,150,4,Da
Divlje deponije,2020,OPŠTINA LAJKOVAC,101343119,07353154,Lajkovac,"Lajkovac (varoš), Lajkovac, 723029",723029,14224,OMLADINSKI TRG 1,0143433329,,opstinalajkovac@gmail.com,8411,Lajkovac,"Lajkovac (selo), Lajkovac, 723037",44.38139,20.16112,8,450,4,Da
Divlje deponije,2020,OPŠTINA LAJKOVAC,101343119,07353154,Lajkovac,"Lajkovac (varoš), Lajkovac, 723029",723029,14224,OMLADINSKI TRG 1,0143433329,,opstinalajkovac@gmail.com,8411,Lajkovac,"Lajkovac (selo), Lajkovac, 723037",44.37283,20.15054,6,60,6,Da
Divlje deponije,2020,OPŠTINA LAJKOVAC,101343119,07353154,Lajkovac,"Lajkovac (varoš), Lajkovac, 723029",723029,14224,OMLADINSKI TRG 1,0143433329,,opstinalajkovac@gmail.com,8411,Lajkovac,"Lajkovac (varoš), Lajkovac, 723029",44.3696,20.18705,25,150,6,Da
